Mean depth (cm),Taxa / depth (cm),Taxa / age (ka),Taxa / Nb individuals,"Ammonia parkinsoniana (d'Orbigny, 1839)","Astacolus crepidula (Fitchel & Moll, 1798)","Bolivina sp. d'Orbigny, 1839","Bolivina striatula Cushman, 1922",Buliminella sp,Cassidulina spp.,"Cassidulina carinata Silvestri, 1896",Chilostomella spp.,"Chilostomella ovoidea Reuss, 1850","Cibicidoides wuellerstorfi(Schwager, 1866)","Cibicidoides spp. Thalmann, 1939",Dentalina spp.,"Dentalina albatrossi (Cushman, 1932)","Eggerella bradyi (Cushman, 1911)",Evolvocassidulina spp.,"Fissurina spp. Reuss, 1850",Globobulimina spp.,"Globobulimina pacifica Cushman, 1927",Globocassidulina spp.,"Globulina spp. d'Orbigny, 1839","Gyroidina sp. d'Orbigny, 1826","Lagena spp. Walker & Jacob, 1789","Lenticulina spp. Lamarck, 1804",Melonis sp.,"Melonis pompilioides (Fichtel & Moll, 1798)","Oolina sp. d'Orbigny, 1839","Pyrgo spp. Defrance, 1824","Quinqueloculina spp. d'Orbigny, 1826","Rosalina australis (Parr, 1932)","Rosalina sp. d'Orbigny, 1826","Spirosigmoilina pusilla (Earland, 1934)","Textularia agglutinans d'Orbigny, 1839","Textularia spp. Defrance, 1824","Triloculina spp. d'Orbigny, 1826",indetermine,hard to read,Total counts,Cibicidoides sp.,Globobulimina sp
156.5,156-157,,,,,,,,,,,,,5,,1,3,,2,,1,,,1,,,2,1,,1,,,,,,,,5,20,42,5,1
375.5,375-376,,,,,,,,6,,,,,8,,,,,3,3,,3,1,,2,,1,,,1,,,,,,,,2,2,32,8,3
380.5,380-381,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1,,,,,,,2,2,8,3,0
550.5,550-551,,,,,,,,,,,,,3,,,,,3,,,,,,,1,1,,,1,1,,2,,,,,1,10,23,3,0
619.5,619-620,,,,1,,,,,,,,,1,,,,,4,,,,,,5,,3,,,,,,1,,,1,,2,9,27,1,0
628.5,628-629,,,,,,,,,,,,,2,,,,,3,,,,,,1,,1,,,1,,,,,,1,,1,12,22,2,0
638.5,638-639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,14,15,0,0
650.5,650-651,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,3,4,1,0
660.5,660-661,,,,,,,,,,,,,,,,,,2,,,,,,3,,2,,,,,,,,,,,3,23,33,0,0
670.5,670-671,,,,,,,,,,,,,2,,,,,4,,,,,,5,1,10,,3,,,,,,,,,3,18,46,2,0
1000.5,1000-1001,,,1,,1,,,,,,4,,3,,,3,,7,,,,,,8,,1,1,1,1,,104,,7,47,,,111,8,308,3,0
1130.5,1130-1131,,,,,1,,,,,,,,,,,,,,,1,,,,1,,,,,1,,,,,,,,1,1,6,0,1
1300.5,1300-1301,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,1,4,0,0
1360.5,1360-1361,,,,,,,,,,2,,,3,1,,,,,,,,,,1,,2,,2,1,,2,,,1,,1,14,12,42,3,0
1725.5,1725-1726,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,1,0,3,0,1
1784.5,1784-1785,,,,,,,,,,,,4,5,,,,,1,1,,,,,3,,15,,,,,3,,,,,,5,21,58,9,1
1812.5,1812-1813,,,,,,,,,,,,,7,,,4,,,,,,,,3,1,,,2,,,,,,2,,,1,24,44,7,0
1842.5,1842-1843,,,,,,,1,,,,,3,15,,,11,1,11,5,,,,,14,3,135,,1,1,,3,,,69,,,0,13,286,18,5
1932.5,1932-1933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,1,2,0,0
2117.5,2117-2118,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,1,0,4,0,0
2137.5,2137-2138,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0,0,1,0,0
2040.5,2040-2041,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,4,,,1,,,0,10,16,0,1
2187.5,2187-2188,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0,2,3,0,0
